Popularidad,Duracion_en_ms,Explicitud,Bailabilidad,Energia,Tonalidad,Volumen,Modo,Palabrería,Acustica,Instrumentalidad,En_Vivo,Valencia,Tempo,Firma_de_tiempo,Genero_del_track
0,222738,0.0,0.416,0.964,9,-2.967,1,0.112,2.35e-05,0.000875,0.473,0.212,157.925,4,41
62,112920,0.0,0.292,0.548,2,-4.977,1,0.0363,0.0827,0.0,0.414,0.207,175.053,3,30
61,310720,0.0,0.207,0.363,5,-7.296,1,0.0306,0.418,5.24e-06,0.128,0.358,122.1848969801553,3,98
41,242666,0.0,0.477,0.5551407978926897,4,-7.493,1,0.07512349203425729,0.65,0.0,0.176,0.186,162.182,4,11
26,139285,0.0,0.601,0.288,5,-18.953,1,0.0409,0.68,0.338,0.65,0.421,128.674,4,11
59,133813,0.0,0.623,0.613,10,-10.099,1,0.0698,0.231,0.0,0.12,0.918,144.334,4,87
46,316426,1.0,0.704,0.99,4,-5.208,1,0.07512349203425729,0.157,0.802,0.629,0.252,125.011,4,9
3,263666,0.0,0.759,0.843,8,-3.718,1,0.0913,0.127,0.0,0.114,0.56,105.016,4,84
0,300305,0.0,0.691,0.901,4,-4.192550693391281,0,0.0546,0.0533,0.684,0.617,0.332,101.362,4,43
34,205400,0.0,0.497,0.972,4,-3.168590761398667,1,0.0892,0.0111,0.202,0.952,0.391,147.913,4,94
48,247786,0.0,0.595,0.7722840234266911,9,-6.622,1,0.0398,0.00689,4.39e-06,0.34,0.441,116.0,4,103
3,115240,0.0,0.484,0.332,1,-10.312,1,0.037,0.787,0.0,0.373,0.683,134.999,4,60
42,127738,0.0,0.79,0.6364805739528325,6,-6.202,0,0.0438,0.505,0.0,0.0814,0.967,171.995,4,32
28,142333,0.0,0.738,0.925,0,-4.205,1,0.0429,0.0125,0.836,0.153,0.704,131.065,4,1
0,121026,0.0,0.446,0.214,1,-14.357986790096408,1,0.0326,0.885,1.46e-06,0.052,0.741,133.436,4,60
53,462719,0.0,0.876,0.459,11,-11.52,1,0.0756,0.0146,0.91,0.111,0.137,124.999,3,101
24,222229,0.0,0.806,0.851,11,-5.03,0,0.0508,0.544,9.05e-06,0.127,0.84,141.022,4,56
59,138200,0.0,0.472,0.856,7,-6.03,1,0.0562,0.147,2.78e-06,0.595,0.841,78.696,4,80
16,238160,0.0,0.545,0.601,7,-7.265,1,0.07512349203425729,0.25,3.22e-06,0.0879,0.167,110.94,3,16
56,258977,0.0,0.472,0.658,7,-4.971,0,0.0256,0.0244,0.000146,0.195,0.113,100.044,4,72
0,162009,0.0,0.541,0.753,0,-6.512,1,0.0511,0.0677,0.0,0.108,0.572,149.743,4,53
0,317280,0.0,0.886,0.708,4,-5.915,0,0.0911,0.107,0.0114,0.044,0.965,109.976,4,84
63,225767,0.0,0.269,0.6129701866301882,4,-11.099,1,0.0303,0.0972,0.0935,0.102,0.277,180.247,4,52
39,285160,0.0,0.509,0.778,11,-3.608,1,0.0295,0.00998,0.0,0.19,0.216,105.066,4,103
0,212706,0.0,0.681,0.802,8,-5.836,0,0.0347,0.0271,0.0496,0.127,0.791,120.053,4,28
0,162897,0.0,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,87
24,75160,0.0,0.576,0.248,2,-19.584,0,0.0383,0.778,0.912,0.12,0.0383,119.092,3,25
0,198554,0.0,0.428,0.365,4,-11.889,0,0.0276,0.78,0.0033,0.113,0.236,94.033,3,35
0,253626,0.0,0.44,0.838,9,-6.196,1,0.0423,0.0956,0.0,0.473,0.619,138.908,4,31
52,210746,0.0,0.522,0.7224998413241142,0,-7.66,1,0.0362,0.071,2.82e-05,0.343,0.455,122.1848969801553,4,35
45,125401,0.0,0.511,0.355,0,-12.352353100073994,0,0.0318,0.847,0.942,0.137,0.118,80.001,4,5
20,259970,0.0,0.459,0.591,7,-7.188,1,0.0407,0.177,0.0,0.092,0.635,155.929,3,65
26,175238,0.0,0.184,0.109,0,-15.774106729928345,1,0.0631,0.786,0.879,0.117,0.193,131.54,4,42
0,139866,0.0,0.689,0.546,5,-9.254,1,0.0673,0.000464,0.000896,0.239,0.966,120.233,4,74
64,175480,0.0,0.584,0.509,2,-13.109,1,0.0287,0.267,0.00252,0.36,0.367,90.457,4,93
0,69000,0.0,0.635,0.393,9,-10.889,1,0.0394,0.652,0.0,0.0845,0.97,122.1848969801553,4,60
15,229666,0.0,0.49,0.107,4,-16.98,1,0.0336,0.984,0.0,0.122,0.492,109.31,3,49
39,246560,0.0,0.528,0.702,5,-7.152,1,0.0282,0.48,3.02e-06,0.488,0.561,140.372,4,70
